Name;Steps;Photo;Ingredients;EstimatedTime;FoodType
Chicken stir fry;"In a bowl, mix together the chicken strips, cornstarch, and soy sauce. Stir until the chicken is coated evenly with the mixture. Heat the vegetable oil in a large skillet over medium-high heat. Add the garlic and ginger and stir-fry for 1 minute until fragrant. Add the chicken to the skillet and stir-fry for 5-6 minutes until cooked through. Add the red bell pepper, yellow onion, and broccoli florets to the skillet and stir-fry for an additional 3-4 minutes until the vegetables are tender-crisp. Pour in the chicken broth and stir to combine. Cook for an additional 2-3 minutes until the sauce has thickened slightly and coats the chicken and vegetables. Season with salt and pepper to taste. Serve hot over cooked rice or noodles.";https://natashaskitchen.com/wp-content/uploads/2016/03/30-Minute-Stir-Fry-Recipe-with-Chicken-and-Rice-Noodles-Healthy-and-so-delicious-Stir-Fry-with-rice-noodles-chicken-broccoli...-stirfryrecipe-13.jpg;"1 lb boneless, skinless chicken breast, sliced into thin strips, 1 tablespoon cornstarch, 2 tablespoons soy sauce, 1 tablespoon vegetable oil, 2 garlic cloves, minced, 1 tablespoon ginger minced, 1 red bell pepper sliced into thin strips, 1 yellow onion sliced into thin strips, 2 cups broccoli florets, 1/4 cup chicken broth, Salt and pepper to taste, Cooked rice or noodles for serving";35;Non-Vegetarian
Chicken Alfredo;"Cook fettuccine pasta according to package instructions until al dente. Drain and set aside. Season the diced chicken with salt and pepper to taste. Heat the olive oil in a large skillet over medium-high heat. Add the chicken and cook for 5-7 minutes, stirring occasionally, until golden brown and cooked through. Remove from the skillet and set aside. In the same skillet, melt the butter over medium heat. Add the minced garlic and cook for 1-2 minutes until fragrant. Pour in the heavy cream and bring to a simmer. Let it cook for 5-7 minutes, stirring occasionally, until the cream has reduced and thickened slightly. Add the Parmesan cheese and stir until the cheese has melted and the sauce is smooth. Add the cooked chicken to the skillet and stir to coat with the Alfredo sauce. Add the cooked fettuccine to the skillet and toss until the pasta is coated with the sauce. Garnish with chopped parsley and serve immediately.";https://www.iheartnaptime.net/wp-content/uploads/2020/12/Chicken-fettuccine-Alfredo-I-Heart-Naptime-500x500.jpg;"1 lb fettuccine pasta, 2 chicken breasts, Salt and pepper to taste, 1 tablespoon oil, 4 tablespoons unsalted butter, 2 cloves garlic, 1 1/2 cups heavy cream, 1 1/2 cups freshly grated cheese, parsley";30;Non-Vegetarian
Garlic Bread;"Preheat the oven to 375 F. In a small bowl, mix together the softened butter, minced garlic, and chopped parsley until well combined. Season the mixture with salt and pepper to taste. Spread the garlic butter mixture evenly over the cut sides of the bread. Place the bread on a baking sheet and bake for 12-15 minutes, until the bread is golden brown and the garlic butter is melted and bubbly. Remove from the oven and let it cool for a few minutes. Slice the bread into individual pieces and serve immediately";https://spicecravings.com/wp-content/uploads/2021/09/Air-Fryer-Garlic-Bread-Featured.jpg;"1 large French baguette or Italian loaf, sliced in half lengthwise, 1/2 cup unsalted butter, 3 garlic cloves, 2 tablespoons freshly chopped parsley, Salt and pepper to taste";20;Vegetarian
Grilled Cheese Sandwich;"Preheat a skillet or griddle over medium heat. Butter one side of each slice of bread with softened butter. Place 2 slices of cheese between 2 slices of bread, with the buttered side facing outwards. Place the sandwich in the skillet or griddle, and cook for 3-4 minutes until the bread is golden brown and the cheese has started to melt. Using a spatula, carefully flip the sandwich and cook for an additional 2-3 minutes until the other side is golden brown and the cheese is fully melted. Remove from the skillet or griddle and let it cool for a minute. Cut the sandwich in half and serve immediately";https://cdn.loveandlemons.com/wp-content/uploads/2023/01/grilled-cheese-sandwich.jpg;"bread, cheese, 2 tablespoons unsalted butter";15;Vegetarian
French Toast;"In a shallow bowl, whisk together the eggs, milk, cinnamon, and vanilla extract until well combined. Heat a large skillet or griddle over medium heat. Dip each slice of bread into the egg mixture, making sure to coat both sides evenly. Melt the butter in the skillet or griddle. Place the bread on the skillet or griddle and cook for 2-3 minutes on each side, until golden brown and cooked through. Remove the French toast from the skillet or griddle and repeat the process with the remaining slices of bread. Serve the French toast with maple syrup or powdered sugar";https://static.onecms.io/wp-content/uploads/sites/43/2022/03/08/7016-french-toast-mfs-010.jpg;"bread, 2 eggs, 1/2 cup milk, 1 teaspoon cinnamon, 1 teaspoon vanilla extract, 1 tablespoon unsalted butter, Maple syrup, sugar";15;Vegetarian
Miso Butter Roast Chicken With Acorn Squash Panzanella;"Pat chicken dry with paper towels, season all over with 2 tsp salt, and tie legs together with kitchen twine. Let sit at room temperature 1 hour. Meanwhile, halve squash and scoop out seeds. Run a vegetable peeler along ridges of squash halves to remove skin. Cut each half into half inch thick wedges, arrange on a rimmed baking sheet. Combine sage, rosemary, and 6 Tbsp melted butter in a large bowl, pour half of mixture over squash on baking sheet. Sprinkle squash with allspice, red pepper flakes, and half tsp salt and season with black pepper, toss to coat. Add bread, apples, oil, and one fourth tsp salt to remaining herb butter in bowl, season with black pepper and toss to combine. Set aside. Place onion and vinegar in a small bowl, season with salt and toss to coat. Let sit, tossing occasionally, until ready to serve. Place a rack in middle and lower third of oven, preheat to 425 F. Mix miso and 3 Tbsp room-temperature butter in a small bowl until smooth. Pat chicken dry with paper towels, then rub or brush all over with miso butter. Place chicken in a large cast-iron skillet and roast on middle rack until an instant-read thermometer inserted into the thickest part of breast registers 155 F, 50–60 minutes. Let chicken rest in skillet at least 5 minutes, then transfer to a plate, reserve skillet. Meanwhile, roast squash on lower rack until mostly tender, about 25 minutes. Remove from oven and scatter reserved bread mixture over, spreading into as even a layer as you can manage. Return to oven and roast until bread is golden brown and crisp and apples are tender, about 15 minutes. Remove from oven, drain pickled onions, and toss to combine. Transfer to a serving dish. Using your fingers, mash flour and butter in a small bowl to combine. Set reserved skillet with chicken drippings over medium heat. You should have about a cup, but a little over or under is all good. Add wine and cook, stirring often and scraping up any browned bits with a wooden spoon, until bits are loosened and wine is reduced by about half, about 2 minutes. Add butter mixture, cook, stirring often, until a smooth paste forms, about 2 minutes. Add broth and any reserved drippings and cook, stirring constantly, until combined and thickened, 6–8 minutes. Remove from heat and stir in miso. Taste and season with salt and black pepper. Serve chicken with gravy and squash panzanella alongside.";https://assets.epicurious.com/photos/5f99a91e819b886aba0a2846/16:9/w_4797,h_2698,c_limit/Chickensgiving_HERO_RECIPE_101920_1374_VOG_final.jpg;"['1 (3–4-lb.) whole chicken', '2 tsp kosher salt, divided, plus more', '2 small acorn squash', '2 Tbsp finely chopped sage', '1 Tbsp finely chopped rosemary', '6 Tbsp unsalted butter, melted, plus 3 Tbsp room temperature', ‘1 tsp ground allspice', 'Pinch of crushed red pepper flakes', 'Freshly ground black pepper', ‘Half loaf good-quality sturdy white bread, torn into 1inch pieces', '2 medium apples, cored, cut into 1 inch pieces', '2 Tbsp olive oil', ‘1 small red onion, thinly sliced', '3 Tbsp apple cider vinegar', '1 Tbsp white miso', ‘1 cup all-purpose flour', '2 Tbsp unsalted butter, room temperature', ‘1 cup dry white wine', '2 cups unsalted chicken broth', '2 tsp white miso', 'Kosher salt', 'freshly ground pepper']";120;Non-Vegetarian
Crispy Salt and Pepper Potatoes;"Preheat oven to 400 F and line a rimmed baking sheet with parchment. In a large bowl, whisk the egg whites until foamy. Add the potatoes and toss until they’re well coated with the egg whites, then transfer to a strainer or colander and let the excess whites drain. Season the potatoes with the salt, pepper, and herbs. Scatter the potatoes on the baking sheet and roast until the potatoes are very crispy and tender when poked with a knife, 15 to 20 minutes.Transfer to a bowl and serve.";https://i2-prod.mirror.co.uk/incoming/article23014480.ece/ALTERNATES/s1200d/0_Oven-Roasted-Potatoes.jpg;['2 large egg whites', '1 pound new potatoes', '2 teaspoons kosher salt', ‘1 teaspoon finely ground black pepper', '1 teaspoon finely chopped rosemary', '1 teaspoon finely chopped thyme', '1 teaspoon finely chopped parsley'];45;Non-Vegetarian
Thanksgiving Mac and Cheese;"Place a rack in middle of oven, preheat to 400 F. Bring evaporated milk and whole milk to a bare simmer in a large saucepan over medium heat. Whisk in garlic powder, onion powder, paprika, pepper, and 1 tsp salt. Working in batches, whisk in three fourths of the cheddar, then all of the cream cheese. Meanwhile, bring a large pot of generously salted water to a boil. Cook macaroni, stirring occasionally, until very al dente, about 4 minutes. Drain in a colander. Add macaroni to cheese sauce in pan and mix until well coated. Evenly spread out half of macaroni mixture in a 13x9inch baking dish. Sprinkle half of remaining cheddar evenly over. Layer remaining macaroni mixture on top and sprinkle with remaining cheddar. Bake until all of the cheese is melted, about 10 minutes. Let cool slightly before serving.";https://www.seriouseats.com/thmb/YwaJNJc7_TDAjdo8pzN_JElsgb4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2021__02__20210214-stovetop-mac-cheese-reshoot-vicky-wasik-9-0760b642ca704cf8b2c5121a363a60a2.jpg;['1 cup evaporated milk', '1 cup whole milk', '1 tsp garlic powder', '1 tsp onion powder', '1 tsp smoked paprika', ' 1 tsp freshly ground black pepper', '1 tsp kosher salt, plus more', '2 lb extra-sharp cheddar, coarsely grated', '4 oz full-fat cream cheese', '1 lb elbow macaroni'];30;Vegetarian
Italian Sausage and Bread Stuffing;"Preheat oven to 350 F with rack in middle. Generously butter baking dish. Put bread in 2 shallow baking pans and bake, switching position of pans halfway through baking, until just dried out, about 10 minutes. Heat 1 tablespoon oil in a 12-inch heavy skillet over medium-high heat until it shimmers, then cook half of sausage, stirring and breaking it into small pieces, until golden brown, about 6 minutes. Transfer with a slotted spoon to a large bowl. Brown remaining sausage in remaining tablespoon oil, transferring to bowl. Pour off fat from skillet and wipe clean. Heat butter over medium heat until foam subsides, then cook onions, celery, garlic, and 1 teaspoon each of salt and pepper, stirring occasionally, until golden, 12 to 15 minutes. Add vegetables and bread to sausage. Whisk together eggs, 1 cup cream, turkey stock, cheese, and parsley, then stir into stuffing and cool completely, about 30 minutes. Reserve 5 cups stuffing to stuff turkey and spoon remainder into baking dish, then drizzle with remaining 1 cup cream. Cover stuffing and chill. About 1 hour before stuffed turkey is finished roasting, bring dish of stuffing to room temperature. When turkey is done, increase oven temperature to 425 F and bake stuffing, covered tightly with foil, until hot throughout, about 20 minutes. Remove foil and bake until top is golden and crisp, about 15 minutes more.";https://food.fnr.sndimg.com/content/dam/images/food/fullset/2016/10/4/1/FNM_110116-Italian-Sausage-Stuffing_s4x3.jpg.rend.hgtvcom.616.462.suffix/1475596908149.jpeg;['1 round Italian loaf cut into 1-inch cubes (8 cups)', '2 tablespoons olive oil divided', '2 pounds sweet Italian sausage casings removed divided', '1 stick unsalted butter cut into pieces', '3 medium onions chopped', '4 large celery ribs chopped', '5 garlic cloves minced', '4 large eggs lightly beaten', ‘1 cup heavy cream', ‘1 cup turkey giblet stock or reduced-sodium chicken broth', '1 cup grated Parmigiano-Reggiano', ‘1 cup coarsely chopped flat-leaf parsley', '4-qt shallow ceramic or glass baking dish'];180;Non-vegetarian
Newton's Law;"Stir together brown sugar and hot water in a cocktail shaker to dissolve. Let cool, then add bourbon, lemon juice, and apple butter and fill with ice. Shake until well chilled, about 15 seconds. Strain into an ice-filled rocks glass. Garnish with orange twist and cinnamon";https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/img_9906.jpg?itok=V58FrtnM;['1 teaspoon dark brown sugar', '1 teaspoon hot water', '1 oz bourbon', ‘1 oz fresh lemon juice', '2 teaspoons apple butter', 'orange twist and freshly grated or ground cinnamon'];15;Vegetarian
